iter,socket,mss,start,end,bps
1,6,1000,0,0.100078,102040087.08067529
1,6,1000,0.100078,0.200083,95791689.62073852
1,6,1000,0.200083,0.300091,97211419.76793447
1,6,1000,0.300091,0.400076,96206107.57646218
1,6,1000,0.400076,0.500071,96828839.35962933
1,6,1000,0.500071,0.600074,93896706.26921912
1,6,1000,0.600074,0.700071,96905948.23846686
1,6,1000,0.700071,0.800079,96104948.3234214
1,6,1000,0.800079,0.900082,96109759.95233202
1,6,1000,0.900082,1.000084,96901103.67784691
1,6,1000,1.000084,1.100083,96508802.08436182
1,6,1000,1.100083,1.2000790000000001,96511699.95809269
1,6,1000,1.2000790000000001,1.300071,96594607.98732346
1,6,1000,1.300071,1.400074,96425910.47849101
1,6,1000,1.400074,1.5000710000000002,96510736.37778796
1,6,1000,1.5000710000000002,1.6000809999999999,96498190.01764882
1,6,1000,1.6000809999999999,1.70007,96597508.64070837
1,6,1000,1.70007,1.800073,93896706.26921912
1,6,1000,1.800073,1.9000780000000002,96423978.00107342
1,6,1000,1.9000780000000002,2.000068,99126069.82059279
1,6,1000,2.000068,2.10007,96505911.57475618
1,6,1000,2.10007,2.200079,93891068.12183195
1,6,1000,2.200079,2.300074,96512663.5576387
1,6,1000,2.300074,2.400068,96434589.62209205
1,6,1000,2.400068,2.500075,96580121.7236028
1,6,1000,2.500075,2.600086,96655289.32250129
1,6,1000,2.600086,2.70008,96355544.87650017
1,6,1000,2.70008,2.800081,96585914.26843175
1,6,1000,2.800081,2.90007,96439411.2452244
1,6,1000,2.90007,3.000081,96418195.39938803
1,6,1000,3.000081,3.100081,96586878.56074335
1,6,1000,3.100081,3.200069,96598473.1645463
1,6,1000,3.200069,3.300068,96429761.29641394
1,6,1000,3.300068,3.400068,96586878.56074335
1,6,1000,3.400068,3.500086,96411443.92235836
1,6,1000,3.500086,3.600069,88697959.3048398
1,6,1000,3.600069,3.700068,99117148.08664188
1,6,1000,3.700068,3.800067,96508802.08436182
1,6,1000,3.800067,3.900076,93891068.12183195
1,6,1000,3.900076,4.000095,96489506.53964092
1,6,1000,4.000095,4.10007,96215736.4918905
1,6,1000,4.10007,4.200073,96821098.63618974
1,6,1000,4.200073,4.300075,96505911.57475618
1,6,1000,4.300075,4.400074,96508802.08436182
1,6,1000,4.400074,4.500085,83457060.93586373
1,6,1000,4.500085,4.600171,0
1,6,1000,4.600171,4.700189,0
1,6,1000,4.700189,4.8001819999999995,0
1,6,1000,4.8001819999999995,4.900159,0
1,6,1000,4.900159,5.000176,0
1,6,1000,5.000176,5.100158,0
1,6,1000,5.100158,5.200155,0
1,6,1000,5.200155,5.300179,0
1,6,1000,5.300179,5.400218,0
1,6,1000,5.400218,5.5002379999999995,0
1,6,1000,5.5002379999999995,5.600183,0
1,6,1000,5.600183,5.700193,0
1,6,1000,5.700193,5.800244,0
1,6,1000,5.800244,5.900193,0
1,6,1000,5.900193,6.000178,0
1,6,1000,6.000178,6.100157,0
1,6,1000,6.100157,6.200182,0
1,6,1000,6.200182,6.300181,0
1,6,1000,6.300181,6.400191,0
