iter,container_id,memory_MB,CPU
1,86b845faba9becdaed21ca3ce35d09389d6fd1ac6dc40e1a5d9662862e9e35c1,9.724,1.36011600546384
2,0b279bd1c7d7563ddaab55b17b363593d3cd1bafc74c2129da2120a3e2a356b9,9.634,1.2979831802958837
3,eb2fe3f2e174c83a9eed358d15566efea9445d69f204711f1006d2ab68460734,9.597,1.3717912953096318
4,f4fd91c16613e86934ed47921c59788259ae3d1251ded8ede7e9d3e4a53ce691,9.519,1.3183283906404908
5,c2e437a5e2c12bf03eb55a4d0f0a3d677831b4fa83fac0824cb1fcd43278f77c,9.691,1.387796245469712
6,9334580fbc4eba1e4c460421704e8928e01f169a8c12e92eede805a518e33a56,9.712,1.374953744130708
7,281d21587b0445fcb39b22142e3cf1cc0ba8416184b78f4d6924de1c8eadb0b5,9.724,1.509584650923759
8,65c1fae93e78c35b54274580256d0b5c91761f274cf4140d5eff2cd0951a68e8,9.699,1.353325140363053
9,eda69062e03353cd94b4c261bc7730bc817bd0eaab48189339ddb6649813d86d,9.679,1.4895761737271977
10,b91a8a029f1939259eb45af0500f6f31011c0622e24e6a0d73f80c1053197581,9.622,1.4293959974149997
11,f12816acb3fa2608812e7c98287373a00ff1604e2fcccb2ab92e474c3f563aaf,9.65,1.3553405197374022
12,c6a366b4418d9d83a1e2e938ec51e18568811f3997447e620276c8cad9ba80da,9.687,1.4152981898720842
13,6b08d90e3e8ae4a379a59e32bb898da55cb5f13e67e071e22d0242571f50caa4,9.646,1.4519380960677186
14,64149562e7934c08c4a9e5aedd016f1aade85b290276be8e75d45d87d70c8b8a,9.589,1.3808444084008176
15,b50f55961cc46282526e2401b9ab6a414fabaf23c53d0e2df9c287fa1c04afd5,9.691,1.5269897852167391
16,222a6a203bf5b8bd33015155f6e7dcdf5ba33b9cdc67bbdac567c42ee5ec1eba,9.65,1.4488180195274811
17,d745c532797d79cfef9076feb79236329ee7b1a08d680a91ea476e0c940e4e88,9.622,1.3230253442748938
18,559d5397f066f5a9c03333d9d5ae76d49bca5fe706f1ff5a854927cde1bb496c,9.691,1.2621321461685482
19,ff291e28db16425d5a5e44311cc41d75adf310998fa8ac938cbe4d642a9d5a4e,9.597,1.331882372898226
